Abecedarian	a 16th century sect of Anabaptists centered in Germany who had an absolute disdain for human knowledge | a novice learning the rudiments of some subject | alphabetically arranged (as for beginning readers)
abecedarius	a poem having lines beginning with letters of the alphabet in regular order
abed	in bed
Abel	Norwegian mathematician (1802-1829) | (Old Testament) Cain and Abel were the first children of Adam and Eve born after the Fall of Man; Abel was killed by Cain
Abel Janszoon Tasman	Dutch navigator who was the first European to discover Tasmania and New Zealand (1603-1659)
Abel Tasman	Dutch navigator who was the first European to discover Tasmania and New Zealand (1603-1659)
Abelard	French philosopher and theologian; lover of Heloise (1079-1142)
abele	a poplar that is widely cultivated in the United States; has white bark and leaves with whitish undersurfaces
abelia	any of various deciduous or evergreen ornamental shrubs of the genus Abelia having opposite simple leaves and cymes of small white or pink or purplish flowers; Asia and Mexico
Abelian group	a group that satisfies the commutative law
Abelmoschus	genus of tropical coarse herbs having large lobed leaves and often yellow flowers
Abelmoschus esculentus	tall coarse annual of Old World tropics widely cultivated in southern United States and West Indies for its long mucilaginous green pods used as basis for soups and stews; sometimes placed in genus Hibiscus
Abelmoschus moschatus	bushy herb of tropical Asia grown for its yellow or pink to scarlet blooms that resemble the hibiscus
abelmosk	bushy herb of tropical Asia grown for its yellow or pink to scarlet blooms that resemble the hibiscus
Abenaki	a member of the Algonquian people of Maine and southern Quebec
Aberdare	a mining town in southern Wales
Aberdeen	a town in western Washington | a town in northeastern South Dakota | a town in northeastern Maryland | a city in northeastern Scotland on the North Sea
Aberdeen Angus	black hornless breed from Scotland
Aberdonian	of or relating to Aberdeen
aberrance	a state or condition markedly different from the norm
aberrancy	a state or condition markedly different from the norm
aberrant	markedly different from an accepted norm | one whose behavior departs substantially from the norm of a group
aberrate	diverge from the expected | diverge or deviate from the straight path; produce aberration
aberration	a state or condition markedly different from the norm | a disorder in one's mental state | an optical phenomenon resulting from the failure of a lens or mirror to produce a good image
abet	assist or encourage, usually in some wrongdoing
abetalipoproteinemia	a rare inherited disorder of fat metabolism; characterized by severe deficiency of beta-lipoproteins and abnormal red blood cells (acanthocytes) and abnormally low cholesterol levels
abetment	the verbal act of urging on
abettal	the verbal act of urging on
abetted	@abet
abetter	one who helps or encourages or incites another
abetting	@abet
abettor	one who helps or encourages or incites another
abeyance	temporary cessation or suspension
abeyant	inactive but capable of becoming active
abfarad	a capacitance unit equal to one billion farads
abhenry	a unit of inductance equal to one billionth of a henry
abhor	find repugnant
abhorred	@abhor
abhorrence	hate coupled with disgust
abhorrent	offensive to the mind
abhorrer	a signer of a 1679 address to Charles II in which those who petitioned for the reconvening of parliament were condemned and abhorred
abhorring	@abhor
abidance	acting according to certain accepted standards | the act of dwelling in a place | the act of abiding (enduring without yielding)
abide	dwell | put up with something or somebody unpleasant
abide by	act in accordance with someone's rules, commands, or wishes | show respect towards
abiding	lasting a long time
Abidjan	city recognized by the United States as the capital of the Ivory Coast; largest city of the Ivory Coast
abience	(psychology) an urge to withdraw or avoid a situation or an object
abient	characterized by avoidance or withdrawal
Abies	true firs
Abies alba	tall timber tree of central and southern Europe having a regular crown and grey bark
Abies amabilis	medium to tall fir of western North America having a conic crown and branches in tiers; leaves smell of orange when crushed
Abies balsamea	medium-sized fir of northeastern North America; leaves smell of balsam when crushed; much used for pulpwood and Christmas trees
Abies bracteata	a pyramidal fir of southwestern California having spiny pointed leaves and cone scales with long spines
Abies concolor	medium to tall fir of central to western United States having a narrow erect crown and soft wood
Abies fraseri	small fast-growing but short-lived fir of southern Alleghenies similar to balsam fir but with very short leaves
Abies grandis	lofty fir of the Pacific coast of northwestern America having long curving branches and deep green leaves
Abies lasiocarpa	medium-tall timber tree of the Rocky Mountains having a narrowly conic to columnar crown
Abies lowiana	medium to tall fir of central to western United States having a narrow erect crown and soft wood
Abies venusta	a pyramidal fir of southwestern California having spiny pointed leaves and cone scales with long spines
Abila	a promontory in northern Morocco opposite the Rock of Gibraltar; one of the Pillars of Hercules
